,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
9462,gas_tax,Future is grim if Ariz. won't expand transit,"MacEachern, Doug","Arizona Republic; Phoenix, Ariz.","Dec 1, 2013","Phoenix, Ariz.",B.9,Viewpoints Sunday,https://www.proquest.com/newspapers/future-is-grim-if-ariz-wont-expand-transit/docview/1490666648/se-2?accountid=13360,AZ
9602,gas_tax,PRIMING THE GAS PUMPS,"Verschoor, Thayer; Biggs, Andy","Arizona Republic; Phoenix, Ariz.","Sep 12, 2005","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/priming-gas-pumps/docview/238625877/se-2?accountid=13360,AZ
9668,gas_tax,Campaign is 'ugliest in recent memory',"Hansen, Ronald J","Arizona Republic; Phoenix, Ariz.","Sep 20, 2008","Phoenix, Ariz.",,Front,https://www.proquest.com/newspapers/campaign-is-ugliest-recent-memory/docview/239034520/se-2?accountid=13360,AZ
10165,gas_tax,"WHEN GAS GOES UP, LIBERALS GO GOOFY","Robb, Robert","Arizona Republic; Phoenix, Ariz.","Apr 13, 2005","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/when-gas-goes-up-liberals-go-goofy/docview/238562737/se-2?accountid=13360,AZ
10257,gas_tax,HERB KAY,"Kay, Herb","Tucson Citizen; Tucson, Ariz.","Mar 6, 2003","Tucson, Ariz.",,Business,https://www.proquest.com/newspapers/herb-kay/docview/237102456/se-2?accountid=13360,AZ
10275,gas_tax,Highway projects would create jobs,"Smigielski, Andrew","Arizona Republic; Phoenix, Ariz.","Jul 14, 2010","Phoenix, Ariz.",,Phoenix Republic 3,https://www.proquest.com/newspapers/highway-projects-would-create-jobs/docview/755424444/se-2?accountid=13360,AZ
10430,gas_tax,More Letters to the Editor,,"Tucson Citizen; Tucson, Ariz.","Mar 31, 2008","Tucson, Ariz.",,,https://www.proquest.com/newspapers/more-letters-editor/docview/237201123/se-2?accountid=13360,AZ
10522,gas_tax,Anti-Keystone arguments don't stand up to scrutiny,,"Arizona Republic; Phoenix, Ariz.","Jan 9, 2015","Phoenix, Ariz.",A.21,Front,https://www.proquest.com/newspapers/anti-keystone-arguments-dont-stand-up-scrutiny/docview/1644256819/se-2?accountid=13360,AZ
11001,gas_tax,We need real relief on gas prices - right now: By Andy Biggs (left) and Thayer Verschoor,"Biggs, Andy; Verschoor, Thayer","Tucson Citizen; Tucson, Ariz.","Oct 14, 2005","Tucson, Ariz.",,Perspective,https://www.proquest.com/newspapers/we-need-real-relief-on-gas-prices-right-now/docview/237155446/se-2?accountid=13360,AZ
11022,gas_tax,BREAKING VALLEY FREEWAY GRIDLOCK NOW WILL SAVE MONEY LATER,"Burns, Brenda","Arizona Republic; Phoenix, Ariz.","Mar 16, 1999","Phoenix, Ariz.",,Opinions,https://www.proquest.com/newspapers/breaking-valley-freeway-gridlock-now-will-save/docview/237886641/se-2?accountid=13360,AZ
