,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
8553,demand-side_management,Plug leaks and save energy: Caulking around windows won't save much of your heating dollars.,"Meyers Sharp, Jo Ellen","Indianapolis Star; Indianapolis, Ind.","Nov 5, 1995","Indianapolis, Ind.",,REAL ESTATE,https://www.proquest.com/newspapers/plug-leaks-save-energy/docview/240186840/se-2?accountid=13360,IN
8559,demand-side_management,"Blower door test among best ways to find leaks: Test detects heat escaping from holes at ducts, electrical outlets, windows and doors.","Meyers Sharp, Jo Ellen","Indianapolis Star; Indianapolis, Ind.","Nov 5, 1995","Indianapolis, Ind.",,REAL ESTATE,https://www.proquest.com/newspapers/blower-door-test-among-best-ways-find-leaks/docview/240155689/se-2?accountid=13360,IN
8562,demand-side_management,Better energy policies will keep lights on,"Smith, Grant","Indianapolis Star; Indianapolis, Ind.","Sep 14, 2003","Indianapolis, Ind.",,EDITORIAL,https://www.proquest.com/newspapers/better-energy-policies-will-keep-lights-on/docview/240641515/se-2?accountid=13360,IN
8600,demand-side_management,MASTER PLANNERS: Five players find it's easy to get hooked on Sim City,"Sullivan, Richard","Indianapolis Star; Indianapolis, Ind.","Jun 17, 1992","Indianapolis, Ind.",,EXTRA,https://www.proquest.com/newspapers/master-planners/docview/240018744/se-2?accountid=13360,IN
8707,energy_efficiency_standard,New study ranks Indiana's clean energy economy in Top 20,"Slabaugh, Seth","Star Press; Muncie, Ind.","Jun 11, 2009","Muncie, Ind.",,BUSINESS,https://www.proquest.com/newspapers/new-study-ranks-indianas-clean-energy-economy-top/docview/440671928/se-2?accountid=13360,IN
8899,gas_tax,Energy and the environment: One in a series of examinations of the presidential candidates' positions on key issues.,,"Indianapolis Star; Indianapolis, Ind.","Apr 30, 2008","Indianapolis, Ind.",,NEWS,https://www.proquest.com/newspapers/energy-environment/docview/240939362/se-2?accountid=13360,IN
8924,gas_tax,Pump primed for gas tax plan,"Tully, Matthew","Indianapolis Star; Indianapolis, Ind.","Feb 4, 2009","Indianapolis, Ind.",,LOCAL -- METRO & STATE,https://www.proquest.com/newspapers/pump-primed-gas-tax-plan/docview/241012373/se-2?accountid=13360,IN
9128,gas_tax,Routes for funding Ohio's road repairs: Gas tax hike not the only way to bring in more money,"Sparling, Hannah K; Borchardt, Jackie","Palladium - Item; Richmond, Ind.","Feb 15, 2019","Richmond, Ind.",A.6,News,https://www.proquest.com/newspapers/routes-funding-ohios-road-repairs/docview/2180720939/se-2?accountid=13360,IN
9130,gas_tax,Finding ways to pay for Ohio's road repairs: Gas tax hike not the only way to bring in revenue,"Sparling, Hannah K; Borchardt, Jackie","Star Press; Muncie, Ind.","Feb 15, 2019","Muncie, Ind.",A.5,News,https://www.proquest.com/newspapers/finding-ways-pay-ohios-road-repairs/docview/2180723975/se-2?accountid=13360,IN
9144,gas_tax,Protecting environment improves economy,"Maloney, Tim","Indianapolis Star; Indianapolis, Ind.","Apr 20, 2003","Indianapolis, Ind.",,EDITORIAL,https://www.proquest.com/newspapers/protecting-environment-improves-economy/docview/240580195/se-2?accountid=13360,IN
