,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
5793,carbon_tax,Australian carbon tax on its way out,"McGuirk, Rod","Great Falls Tribune; Great Falls, Mont.","Jul 7, 2014","Great Falls, Mont.",5,A,https://www.proquest.com/newspapers/australian-carbon-tax-on-way-out/docview/1543308176/se-2?accountid=13360,MT
5979,carbon_tax,Montana Legislature considers carbon taxes,"Lutey, Tom","The Billings Gazette; Billings, Mont.","Feb 7, 2019","Billings, Mont.",,406 Politics,https://www.proquest.com/newspapers/montana-legislature-considers-carbon-taxes/docview/2177197825/se-2?accountid=13360,MT
6074,carbon_tax,Part-owner of Colstrip power plant won't put date on its closure,"Lutey, Tom","Missoulian; Missoula, Mont.","May 18, 2018","Missoula, Mont.",,,https://www.proquest.com/newspapers/part-owner-colstrip-power-plant-wont-put-date-on/docview/2041053130/se-2?accountid=13360,MT
6729,carbon_tax,"On our minds: Election, wolverines, candidates",,"Great Falls Tribune; Great Falls, Mont.","Oct 16, 2012","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/on-our-minds-election-wolverines-candidates/docview/1125565397/se-2?accountid=13360,MT
6811,carbon_tax,Company: Climate bill could bump energy costs,"Dennison, Mike","Missoulian; Missoula, Mont.","Aug 19, 2009","Missoula, Mont.",,,https://www.proquest.com/newspapers/company-climate-bill-could-bump-energy-costs/docview/392148796/se-2?accountid=13360,MT
6846,carbon_tax,Climate bill prompts NWE letter of warning,"Dennison, Mike","The Billings Gazette; Billings, Mont.","Aug 19, 2009","Billings, Mont.",,,https://www.proquest.com/newspapers/climate-bill-prompts-nwe-letter-warning/docview/401172414/se-2?accountid=13360,MT
6892,carbon_tax,ROLL CALL REPORT,,"The Billings Gazette; Billings, Mont.","Jul 21, 2018","Billings, Mont.",,,https://www.proquest.com/newspapers/roll-call-report/docview/2184286031/se-2?accountid=13360,MT
6950,carbon_tax,City Commission responds to questions about power plant,"Stebbins, Dona","Great Falls Tribune; Great Falls, Mont.","Dec 10, 2006","Great Falls, Mont.",,Opinion,https://www.proquest.com/newspapers/city-commission-responds-questions-about-power/docview/441199338/se-2?accountid=13360,MT
7385,carbon_tax,EPA and CO2: EPA AND CO2,"Squires, P Joan","Great Falls Tribune; Great Falls, Mont.","Jul 13, 2011","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/epa-co2/docview/876262061/se-2?accountid=13360,MT
7598,carbon_tax,Council hears comments on power plan,"MCDonald, Colin","Missoulian; Missoula, Mont.","Oct 13, 2004","Missoula, Mont.",,,https://www.proquest.com/newspapers/council-hears-comments-on-power-plan/docview/392279954/se-2?accountid=13360,MT
7730,carbon_tax,Obama wants to understand climate change?,"MacCracken, Michael","Great Falls Tribune; Great Falls, Mont.","Dec 8, 2012","Great Falls, Mont.",,Opinion,https://www.proquest.com/newspapers/obama-wants-understand-climate-change/docview/1237095933/se-2?accountid=13360,MT
7802,carbon_tax,Some budgetary ideas to chew on,,"Bozeman Daily Chronicle; Bozeman, Mont.","Mar 12, 2013","Bozeman, Mont.",A.6,Opinion,https://www.proquest.com/newspapers/some-budgetary-ideas-chew-on/docview/1315894642/se-2?accountid=13360,MT
7934,carbon_tax,Proposed 'Trojan horse' coal plant pulls community wrong way,"Reichert, Cheryl","Great Falls Tribune; Great Falls, Mont.","Oct 14, 2007","Great Falls, Mont.",,Viewpoints,https://www.proquest.com/newspapers/proposed-trojan-horse-coal-plant-pulls-community/docview/441265835/se-2?accountid=13360,MT
7935,carbon_tax,"Trump's coal-friendly pollution rules get mixed reviews in Montana, may not save Colstrip","Lutey, Tom","The Billings Gazette; Billings, Mont.","Aug 22, 2018","Billings, Mont.",,,https://www.proquest.com/newspapers/trumps-coal-friendly-pollution-rules-get-mixed/docview/2184242222/se-2?accountid=13360,MT
7996,carbon_tax,"Trump's coal-friendly pollution rules get mixed reviews in Montana, may not save Colstrip","Lutey, Tom","Missoulian; Missoula, Mont.","Aug 22, 2018","Missoula, Mont.",,,https://www.proquest.com/newspapers/trumps-coal-friendly-pollution-rules-get-mixed/docview/2224518940/se-2?accountid=13360,MT
8055,carbon_tax,"Schweitzer, Canadian leader push pricey sequestration demonstration","Adams, John S","Great Falls Tribune; Great Falls, Mont.","Mar 29, 2009","Great Falls, Mont.",,Montana,https://www.proquest.com/newspapers/schweitzer-canadian-leader-push-pricey/docview/441353277/se-2?accountid=13360,MT
