,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
887,cap_and_trade,Region urged to collaborate on emissions: [All Edition],"Miller, Kevin; OF THE NEWS STAFF","Bangor Daily News; Bangor, Me.","Dec 19, 2006","Bangor, Me.",,A,https://www.proquest.com/newspapers/region-urged-collaborate-on-emissions/docview/414369368/se-2?accountid=13360,ME
897,cap_and_trade,Indiana governor manages to find all the right answers,Anonymous,"Sun Journal; Lewiston, Me.","Jun 16, 2009","Lewiston, Me.",A.7,Columnist,https://www.proquest.com/newspapers/indiana-governor-manages-find-all-right-answers/docview/378966447/se-2?accountid=13360,ME
924,cap_and_trade,"David Sirota: New Republican icon, same old policies",,"Sun Journal; Lewiston, Me.","Nov 19, 2013","Lewiston, Me.",,Guest Columnists,https://www.proquest.com/newspapers/david-sirota-new-republican-icon-same-old/docview/1459482558/se-2?accountid=13360,ME
967,cap_and_trade,Suit contends EPA mercury rules will not protect health ; The Natural Resources Council of Maine joins others pushing for stricter standards for power plant emissions.: [Final Edition],MEREDITH GOAD Staff Writer,"Portland Press Herald; Portland, Me.","Apr 29, 2004","Portland, Me.",,Local & State,https://www.proquest.com/newspapers/suit-contends-epa-mercury-rules-will-not-protect/docview/277178468/se-2?accountid=13360,ME
1007,cap_and_trade,Court rejects Bush rule on mercury emissions,FROM STAFF AND WIRE REPORTS,"Bangor Daily News; Bangor, Me.","Feb 9, 2008","Bangor, Me.",1,A,https://www.proquest.com/newspapers/court-rejects-bush-rule-on-mercury-emissions/docview/414321989/se-2?accountid=13360,ME
1017,cap_and_trade,Mainers protest Senate inaction on climate bill: They urge Sens. Susan Collins and Olympia Snowe to do more to pass comprehensive energy legislation.,REBEKAH METZLERMedia State House Writer,"Portland Press Herald; Portland, Me.","Sep 4, 2010","Portland, Me.",A.1,Front,https://www.proquest.com/newspapers/mainers-protest-senate-inaction-on-climate-bill/docview/749605389/se-2?accountid=13360,ME
1127,cap_and_trade,"Why the rush on climate change? Not because world is warming: In fact, it's not. Instead, advocates are worried people will find out their scare-mongering is false.","Harmon, MD","Portland Press Herald; Portland, Me.","Jul 3, 2009","Portland, Me.",A.13,Editorial,https://www.proquest.com/newspapers/why-rush-on-climate-change-not-because-world-is/docview/277380971/se-2?accountid=13360,ME
1172,cap_and_trade,AFTER COPENHAGEN,Anonymous,"Bangor Daily News; Bangor, Me.","Dec 26, 2009","Bangor, Me.",10,A,https://www.proquest.com/newspapers/after-copenhagen/docview/414387033/se-2?accountid=13360,ME
1254,cap_and_trade,Conservation districts working to develop soil carbon baseline,Anonymous,"Sun Journal; Lewiston, Me.","Jan 28, 2009","Lewiston, Me.",B.4,Connections,https://www.proquest.com/newspapers/conservation-districts-working-develop-soil/docview/378804143/se-2?accountid=13360,ME
1342,cap_and_trade,States poised to set limits on emissions ; Nine northeastern states expect to finalize the nation's first carbon dioxide cap this month.: [Final Edition],JOHN RICHARDSON Staff Writer,"Portland Press Herald; Portland, Me.","Sep 21, 2005","Portland, Me.",,Local & State,https://www.proquest.com/newspapers/states-poised-set-limits-on-emissions-nine/docview/277254860/se-2?accountid=13360,ME
