previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
4200,cap_and_trade,Immigration reform may wait until 2017,,"Baxter Bulletin; Mountain Home, Ark.","Apr 19, 2014","Mountain Home, Ark.",A.4,News,https://www.proquest.com/newspapers/immigration-reform-may-wait-until-2017/docview/1517605351/se-2?accountid=13360,AR
7406,carbon_tax,Landfill suitor operates in high-stakes venues,"Wallis, Frank","Baxter Bulletin; Mountain Home, Ark.","May 10, 2012","Mountain Home, Ark.",,NEWS,https://www.proquest.com/newspapers/landfill-suitor-operates-high-stakes-venues/docview/1012049089/se-2?accountid=13360,AR
12836,gas_tax,"New laws OK wine shipments, ban tiger selfies","Welsh-Huggins, Andrew","Baxter Bulletin; Mountain Home, Ark.","Jan 2, 2015","Mountain Home, Ark.",8,A,https://www.proquest.com/newspapers/new-laws-ok-wine-shipments-ban-tiger-selfies/docview/1641524657/se-2?accountid=13360,AR
