,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
15160,RPS,Kuether warns of new attack: Democrat foresees another push to quash renewable energy standards,"Marso, Andy","Topeka Capital Journal; Topeka, Kan.","Apr 1, 2014","Topeka, Kan.",A.2,News,https://www.proquest.com/newspapers/kuether-warns-new-attack/docview/1511462103/se-2?accountid=13360,KS
15175,RPS,ENERGY CHANGE WON'T BE DELAYED: LAWMAKERS NOT SWAYED BY OPINION OF GROVER NORQUIST,"Carpenter, Tim","Topeka Capital Journal; Topeka, Kan.","Mar 1, 2013","Topeka, Kan.",A.2,News,https://www.proquest.com/newspapers/energy-change-wont-be-delayed/docview/1313259088/se-2?accountid=13360,KS
15186,RPS,U.K.'s Guardian lauds Gov. Brownback as 'champion' of climate change,,"Topeka Capital Journal; Topeka, Kan.","Jan 1, 2014","Topeka, Kan.",B.3,Flavor,https://www.proquest.com/newspapers/u-k-s-guardian-lauds-gov-brownback-as-champion/docview/1472724611/se-2?accountid=13360,KS
15201,RPS,Rep: Koch using Kansas Chamber to retaliate on renewable energy: Legislator: Contribution also discussed,"Marso, Andy","Topeka Capital Journal; Topeka, Kan.","Jun 17, 2014","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/rep-koch-using-kansas-chamber-retaliate-on/docview/1535820484/se-2?accountid=13360,KS
15203,RPS,Energy: Repeal of standards attempted,"Marso, Andy","Topeka Capital Journal; Topeka, Kan.","Dec 7, 2013","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/energy-repeal-standards-attempted/docview/1466171170/se-2?accountid=13360,KS
15206,RPS,LETTERS,,"Topeka Capital Journal; Topeka, Kan.","Jun 22, 2014","Topeka, Kan.",A.4,News,https://www.proquest.com/newspapers/letters/docview/1539539462/se-2?accountid=13360,KS
15209,RPS,"Kansas lawmakers and lobbyists go to work on budget, school funding, Medicaid and more","Hancock, Peter","Daily Journal World; Lawrence, Kan.","Jan 18, 2015","Lawrence, Kan.",,,https://www.proquest.com/newspapers/kansas-lawmakers-lobbyists-go-work-on-budget/docview/1646352984/se-2?accountid=13360,KS
15223,RPS,Rep: PAC incident led Kan. chamber to end support,"Clarkin, Mary","The Hutchinson News; Hutchinson, Kan","Jun 17, 2014","Hutchinson, Kan.",,,https://www.proquest.com/newspapers/rep-pac-incident-led-kan-chamber-end-support/docview/1536036162/se-2?accountid=13360,KS
15229,RPS,Issues that will dominate the 2014 legislative session,"Rothschild, Scott","Daily Journal World; Lawrence, Kan.","Jan 12, 2014","Lawrence, Kan.",,,https://www.proquest.com/newspapers/issues-that-will-dominate-2014-legislative/docview/1476734834/se-2?accountid=13360,KS
15239,RPS,"Germany provides hopeful, but cautionary, energy tale: Country remains committed despite costs, grid concerns","Marso, Andy","Topeka Capital Journal; Topeka, Kan.","Aug 10, 2014","Topeka, Kan.",A.1,News,https://www.proquest.com/newspapers/germany-provides-hopeful-cautionary-energy-tale/docview/1552170199/se-2?accountid=13360,KS
