,State,article_link
101,CT,https://search.proquest.com/docview/1845498856?accountid=13360 
102,CT,https://search.proquest.com/docview/1859751331?accountid=13360 
103,CT,https://search.proquest.com/docview/1864909331?accountid=13360 
104,CT,https://search.proquest.com/docview/1873988359?accountid=13360 
105,CT,https://search.proquest.com/docview/1883614747?accountid=13360 
106,CT,https://search.proquest.com/docview/1898707130?accountid=13360 
107,CT,https://search.proquest.com/docview/1899051879?accountid=13360 
108,CT,https://search.proquest.com/docview/1904716060?accountid=13360 
109,CT,https://search.proquest.com/docview/1919072219?accountid=13360 
110,CT,https://search.proquest.com/docview/1922264004?accountid=13360 
111,CT,https://search.proquest.com/docview/1925370079?accountid=13360 
112,CT,https://search.proquest.com/docview/1936761135?accountid=13360 
113,CT,https://search.proquest.com/docview/1938781009?accountid=13360 
114,CT,https://search.proquest.com/docview/1941895359?accountid=13360 
115,CT,https://search.proquest.com/docview/1953571440?accountid=13360 
116,CT,https://search.proquest.com/docview/1961737845?accountid=13360 
117,CT,https://search.proquest.com/docview/1973332539?accountid=13360 
118,DE,https://search.proquest.com/docview/913475384?accountid=13360 
119,DE,https://search.proquest.com/docview/1000277992?accountid=13360 
120,DE,https://search.proquest.com/docview/1033183296?accountid=13360 
121,DE,https://search.proquest.com/docview/1033732139?accountid=13360 
122,DE,https://search.proquest.com/docview/1034206876?accountid=13360 
123,DE,https://search.proquest.com/docview/1034543842?accountid=13360 
124,DE,https://search.proquest.com/docview/1034950884?accountid=13360 
125,DE,https://search.proquest.com/docview/1037517781?accountid=13360 
126,DE,https://search.proquest.com/docview/1080766703?accountid=13360 
127,DE,https://search.proquest.com/docview/1238141783?accountid=13360 
128,DE,https://search.proquest.com/docview/1268820575?accountid=13360 
129,DE,https://search.proquest.com/docview/1268820740?accountid=13360 
130,DE,https://search.proquest.com/docview/1288798839?accountid=13360 
131,DE,https://search.proquest.com/docview/1314534683?accountid=13360 
132,DE,https://search.proquest.com/docview/1372468442?accountid=13360 
133,DE,https://search.proquest.com/docview/1398316747?accountid=13360 
134,DE,https://search.proquest.com/docview/1426253232?accountid=13360 
135,DE,https://search.proquest.com/docview/1427263727?accountid=13360 
136,DE,https://search.proquest.com/docview/1470410383?accountid=13360 
137,DE,https://search.proquest.com/docview/1477961178?accountid=13360 
138,DE,https://search.proquest.com/docview/1487908075?accountid=13360 
139,DE,https://search.proquest.com/docview/1492251016?accountid=13360 
140,DE,https://search.proquest.com/docview/1492251132?accountid=13360 
141,DE,https://search.proquest.com/docview/1496065756?accountid=13360 
142,DE,https://search.proquest.com/docview/1498434006?accountid=13360 
143,DE,https://search.proquest.com/docview/1517606498?accountid=13360 
144,DE,https://search.proquest.com/docview/1799007007?accountid=13360 
145,DE,https://search.proquest.com/docview/1730677650?accountid=13360 
146,DE,https://search.proquest.com/docview/1802213609?accountid=13360 
147,DE,https://search.proquest.com/docview/1764899047?accountid=13360 
148,DE,https://search.proquest.com/docview/1764888712?accountid=13360 
149,DE,https://search.proquest.com/docview/1764883120?accountid=13360 
150,DE,https://search.proquest.com/docview/1802214048?accountid=13360 
151,DE,https://search.proquest.com/docview/1802214007?accountid=13360 
152,DE,https://search.proquest.com/docview/1783768282?accountid=13360 
153,DE,https://search.proquest.com/docview/1821128572?accountid=13360 
154,DE,https://search.proquest.com/docview/1823215217?accountid=13360 
155,DE,https://search.proquest.com/docview/1840590160?accountid=13360 
156,DE,https://search.proquest.com/docview/1850376797?accountid=13360 
157,DE,https://search.proquest.com/docview/1860746042?accountid=13360 
158,DE,https://search.proquest.com/docview/1884392610?accountid=13360 
159,FL,https://search.proquest.com/docview/918781181?accountid=13360 
160,FL,https://search.proquest.com/docview/927911772?accountid=13360 
161,FL,https://search.proquest.com/docview/1013829963?accountid=13360 
162,FL,https://search.proquest.com/docview/1040842605?accountid=13360 
163,FL,https://search.proquest.com/docview/1145611772?accountid=13360 
164,FL,https://search.proquest.com/docview/1266025464?accountid=13360 
165,FL,https://search.proquest.com/docview/1353334843?accountid=13360 
166,FL,https://search.proquest.com/docview/1477784765?accountid=13360 
167,FL,https://search.proquest.com/docview/1492273180?accountid=13360 
168,FL,https://search.proquest.com/docview/1508137294?accountid=13360 
